Consiglio portieri — 2026-07-25 17:03Z

1) brian-schwake: 63 pt (33-93)
2) nicholas-defreitas-hansen: 58 pt (32-84)
3) hugo-lloris: 56 pt (14-99)
4) matt-turner: 56 pt (24-87)
5) andrew-thomas-1998-09-01: 51 pt (19-84)
6) kristijan-kahlina: 43 pt (14-73)
7) daniel-de-sousa-brito: 42 pt (17-68)
8) patrick-schulte: 39 pt (16-61)
9) christopher-brady: 34 pt (-4-73)
10) roman-celentano: 34 pt (-9-76)
11) freese-matthew: 31 pt (6-57)
12) brad-stuver: 27 pt (0-55)
13) drake-callender: 26 pt (3-50)
14) yohei-takaoka: 24 pt (-10-57)

(22 esclusi/non disponibili questa giornata)
