player_slug,player_name,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
rafael-alexandre-fernandes-ferreira-da-silva,Rafa,primeira-liga-pt,misto,0.6119,SL Benfica,FC Sankt Gallen 1879 (casa),65.5,57.0,55.0,54.0,1.87,2.22,79/81,15.73,2026-07-30T19:00:00Z,72.0,in_season
samuel-elias-dahl,Samuel Dahl,primeira-liga-pt,misto,0.5304,SL Benfica,FC Sankt Gallen 1879 (casa),46.6,43.0,49.0,54.0,2.38,2.52,25/27,5.57,2026-07-30T19:00:00Z,72.1,classic
anatolii-trubin,Anatolii Trubin,primeira-liga-pt,misto,0.5114,SL Benfica,FC Sankt Gallen 1879 (casa),51.3,37.0,43.0,49.0,10.55,10.44,60/62,-1.01,2026-07-30T19:00:00Z,72.1,classic
eduardo-filipe-quaresma-coimbra-simoes,Eduardo Quaresma,primeira-liga-pt,misto,0.3989,Sporting Clube de Portugal,CF Estrela da Amadora (trasferta),98.34,62.0,61.0,58.0,2.55,2.6,30/32,1.96,2026-08-08T19:30:00Z,288.5,classic
pedro-antonio-pereira-goncalves,Pedro Gonçalves,primeira-liga-pt,misto,0.3779,Sporting Clube de Portugal,CF Estrela da Amadora (trasferta),73.6,60.0,54.0,60.0,1.51,1.73,65/67,12.79,2026-08-08T19:30:00Z,288.6,in_season
diogo-meireles-costa,Diogo Costa,primeira-liga-pt,misto,0.2919,FC Porto,Alverca (casa),54.3,64.0,60.0,54.0,22.49,21.57,64/66,-4.29,2026-08-09T17:00:00Z,310.0,classic
