player_slug,player_name,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
daley-blind,Daley Blind,eredivisie,misto,0.565,AFC Ajax,FK Vojvodina Novi Sad (casa),53.42,53.0,53.0,53.0,1.59,1.76,61/63,9.54,2026-07-30T18:00:00Z,71.0,in_season
daan-rots,Daan Rots,eredivisie,misto,0.5402,FC Twente,Ferencvárosi TC (trasferta),65.2,61.0,54.0,55.0,1.75,1.61,34/36,-8.93,2026-07-30T18:30:00Z,71.5,classic
bart-van-rooij,Bart van Rooij,eredivisie,misto,0.5257,FC Twente,Ferencvárosi TC (trasferta),39.98,57.0,62.0,61.0,3.86,3.95,40/42,2.26,2026-07-30T18:30:00Z,71.5,classic
lars-unnerstall,Lars Unnerstall,eredivisie,misto,0.4399,FC Twente,Ferencvárosi TC (trasferta),32.8,39.0,44.0,46.0,2.89,2.56,53/55,-12.84,2026-07-30T18:30:00Z,71.5,classic
kodai-sano,Kodai Sano,eredivisie,misto,0.2764,N.E.C. Nijmegen,Olympiakos CFP (trasferta),49.1,46.0,54.0,56.0,1.7,1.69,16/18,-0.8,2026-08-04T00:00:00Z,173.1,classic
wouter-goes,Wouter Goes,eredivisie,misto,0.2347,AZ,HFC ADO Den Haag (casa),31.84,44.0,51.0,54.0,1.68,1.65,21/23,-2.05,2026-08-08T19:00:00Z,288.1,classic
