player_slug,player_name,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
samuel-sahin-radlinger,Samuel Sahin-Radlinger,austrian-bundesliga,misto,0.4814,FK Austria Wien,FK Liepāja (casa),75.3,51.0,43.0,44.0,2.8,2.14,74/76,-30.72,2026-07-30T18:30:00Z,71.5,classic
haris-tabakovic,Haris Tabaković,austrian-bundesliga,misto,0.3547,FC Red Bull Salzburg,TSV Egger Glas Hartberg (casa),35.1,48.0,42.0,47.0,1.3,2.06,28/30,36.84,2026-08-01T17:30:00Z,118.5,in_season
jacob-peter-hodl,Jacob Hödl,austrian-bundesliga,misto,0.1926,SK Puntigamer Sturm Graz,Heart of Midlothian FC (trasferta),88.3,54.0,41.0,40.0,3.0,2.12,14/16,-41.46,2026-07-28T18:45:00Z,23.7,classic
niklas-hedl,Niklas Hedl,austrian-bundesliga,misto,0.165,SK Rapid Wien,Don Denis FC Santa Coloma (casa),39.2,50.0,46.0,45.0,3.3,3.09,64/66,-6.69,2026-07-29T18:30:00Z,47.5,classic
