player_slug,player_name,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
karim-konate,Karim Konaté,austrian-bundesliga,misto,0.6293,FC Red Bull Salzburg,TSV Egger Glas Hartberg (casa),41.7,38.0,45.0,45.0,1.1,11.62,26/28,90.53,2026-08-01T17:30:00Z,174.7,classic
nikolas-polster,Nikolas Polster,austrian-bundesliga,misto,0.605,RZ Pellets WAC,FK Austria Wien (casa),38.3,51.0,53.0,52.0,2.8,11.49,32/34,75.63,2026-08-02T15:00:00Z,196.1,classic
maurits-kjaergaard,Maurits Kjærgaard,austrian-bundesliga,misto,0.5312,FC Red Bull Salzburg,TSV Egger Glas Hartberg (casa),0.0,57.0,47.0,52.0,1.18,8.8,36/38,86.6,2026-08-01T17:30:00Z,174.6,classic
angelo-gattermayer,Angelo Gattermayer,austrian-bundesliga,misto,0.4704,TSV Egger Glas Hartberg,FC Red Bull Salzburg (trasferta),32.4,50.0,47.0,41.0,2.75,3.45,18/20,20.19,2026-08-01T17:30:00Z,174.6,classic
