giorni_da_partita,n_transazioni,prezzo_medio_normalizzato,scostamento_percent
-11,1,0.3583,-64.17
-9,17,0.8856,-11.44
-8,5,0.9428,-5.72
-7,6,1.062,6.2
-6,6,1.4168,41.68
-3,85,0.8161,-18.39
-2,1642,0.895,-10.5
-1,1766,1.0433,4.33
0,1848,1.0435,4.35
1,1373,1.0227,2.27
2,26,0.9996,-0.04
