player_slug,player_name,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
karim-konate,Karim Konaté,austrian-bundesliga,misto,0.6293,FC Red Bull Salzburg,TSV Egger Glas Hartberg (casa),41.7,38.0,45.0,45.0,1.1,11.62,26/28,90.53,2026-08-01T17:30:00Z,174.7,classic
angelo-gattermayer,Angelo Gattermayer,austrian-bundesliga,misto,0.4704,TSV Egger Glas Hartberg,FC Red Bull Salzburg (trasferta),32.4,50.0,47.0,41.0,2.75,3.45,18/20,20.19,2026-08-01T17:30:00Z,174.6,classic
