player_slug,player_name,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
ryan-gauld,Ryan Gauld,mlspa,classic,0.2827,Vancouver Whitecaps FC,Minnesota United (trasferta),70.0,70.0,44.0,44.0,1.85,1.75,29/31,-5.65,2026-07-26T00:30:00Z,13.6,classic
robert-lewandowski,Robert Lewandowski,mlspa,classic,0.2146,Chicago Fire FC,New York City FC (trasferta),36.2,43.0,49.0,50.0,6.36,6.81,51/53,6.56,2026-07-25T23:30:00Z,12.7,classic
brad-stuver,Brad Stuver,mlspa,classic,0.1787,Austin FC,Houston Dynamo FC (trasferta),31.4,36.0,43.0,46.0,1.58,1.56,29/31,-1.13,2026-07-26T00:30:00Z,13.7,classic
