player_slug,player_name,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
dae-won-kim,Kim Dae-Won,https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.6308,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,10.9,13.75,16/18,20.76,down,12.67,14.48,2026-08-01T10:30:00Z,67.1,in_season
patryk-klimala,Patryk Klimala,https://sorare.com/it/football/players/patryk-klimala,k-league-1,in season,0.6214,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),38.2,55.0,48.0,49.0,1.75,4.9,15/17,64.22,down,2.02,5.6,2026-08-01T10:30:00Z,72.9,in_season
seung-won-jung,Jeong Seung-Won,https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.6175,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,5.33,7.36,26/28,27.66,down,6.55,7.67,2026-08-01T10:30:00Z,67.1,in_season
juan-antonio-ros-martinez,Ros,https://sorare.com/it/football/players/juan-antonio-ros-martinez,k-league-1,in season,0.6109,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),59.18,60.0,55.0,57.0,2.71,4.27,16/18,36.69,down,3.08,4.87,2026-08-01T10:30:00Z,67.1,in_season
dong-heon-kim,Kim Dong-Hyun,https://sorare.com/it/football/players/dong-heon-kim,k-league-1,in season,0.6039,Incheon United FC,Jeju SK FC (trasferta),39.6,51.0,51.0,49.0,3.89,5.85,13/15,33.54,,,5.85,2026-08-02T10:30:00Z,91.1,in_season
oberdan-alionco-de-lima,Oberdan,https://sorare.com/it/football/players/oberdan-alionco-de-lima,k-league-1,in season,0.5966,Jeonbuk Hyundai Motors FC,FC Seoul (casa),46.5,53.0,57.0,54.0,3.16,5.39,13/15,41.39,down,3.59,6.73,2026-08-01T10:30:00Z,67.1,in_season
joon-hyuck-kang,Kang Joon-Hyuck,https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.5887,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,9.47,11.18,16/18,15.27,flat,10.74,11.36,2026-08-01T10:30:00Z,67.1,in_season
seo-jae-min,Seo Jae-Min,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.5852,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,5.82,6.48,13/15,10.16,flat,6.3,6.59,2026-08-02T10:30:00Z,91.1,in_season
hrvoje-babec,Hrvoje Babec,https://sorare.com/it/football/players/hrvoje-babec,k-league-1,in season,0.578,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),48.2,48.0,54.0,49.0,2.3,3.37,19/21,31.83,down,2.43,3.8,2026-08-01T10:30:00Z,72.9,in_season
jae-hyun-mo,Mo Jae-Hyeon,https://sorare.com/it/football/players/jae-hyun-mo,k-league-1,in season,0.5725,Gangwon FC,Bucheon FC 1995 (casa),0.0,50.0,51.0,52.0,1.0,1.53,15/17,34.81,flat,1.45,1.58,2026-08-01T10:30:00Z,72.9,in_season
matheus-oliveira-santos,Matheus Oliveira,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,in season,0.5714,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,10.53,13.82,24/26,23.82,down,10.85,14.41,2026-08-02T10:30:00Z,91.1,in_season
