player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
matheus-oliveira-santos,Matheus Oliveira,COMPRA ORA,23.2,sconto 30% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,in season,0.5989,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,9.32,13.39,23/25,30.39,down,10.68,14.32,2026-08-02T10:30:00Z,67.5,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:01:51+00:00,in_season
juan-fernandez-blanco,Juan Ibiza,COMPRA ORA,14.0,sconto 22% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/juan-fernandez-blanco,k-league-1,in season,0.5528,Incheon United FC,Jeju SK FC (trasferta),32.66,53.0,59.0,53.0,3.47,4.42,13/15,21.56,down,3.18,4.55,2026-08-02T10:30:00Z,67.5,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:01:54+00:00,in_season
chang-geun-lee,Lee Chang-Geun,COMPRA ORA,12.0,sconto 16% | trend stabile | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/chang-geun-lee,k-league-1,in season,0.5441,Daejeon Citizen FC,Gwangju FC (casa),27.1,49.0,49.0,49.0,3.49,4.14,17/19,15.57,flat,4.0,4.26,2026-08-02T10:30:00Z,67.5,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:01:51+00:00,in_season
seo-jae-min,Seo Jae-Min,COMPRA ORA,11.6,sconto 19% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.5933,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,4.99,6.18,14/16,19.22,down,5.34,6.56,2026-08-02T10:30:00Z,67.5,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:01:56+00:00,in_season
seung-won-jung,Jeong Seung-Won,COMPRA ORA,11.3,"sconto 28% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.2738,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,5.32,7.44,22/24,28.46,down,5.44,8.64,2026-08-01T10:30:00Z,43.5,finestra gia' passata,2026-07-30T15:02:03+00:00,in_season
dae-won-kim,Kim Dae-Won,buona occasione,9.9,"sconto 26% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.2932,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,9.0,12.13,21/23,25.81,down,10.52,14.39,2026-08-01T10:30:00Z,43.5,finestra gia' passata,2026-07-30T15:01:53+00:00,in_season
kim-gun-hee,Kim Geon-Hui,buona occasione,8.1,sconto 16% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/kim-gun-hee,k-league-1,in season,0.5966,Incheon United FC,Jeju SK FC (trasferta),62.36,71.0,65.0,60.0,6.7,7.96,21/23,15.87,down,7.29,8.28,2026-08-02T10:30:00Z,67.5,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:01:57+00:00,in_season
joon-hyuck-kang,Kang Joon-Hyuck,buona occasione,7.8,"sconto 22% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.2256,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,8.19,10.51,20/22,22.1,down,8.78,11.53,2026-08-01T10:30:00Z,43.5,finestra gia' passata,2026-07-30T15:01:53+00:00,in_season
dong-kyung-lee,Lee Dong-Gyeong,buona occasione,7.3,sconto 9% | trend in salita | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.6219,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,10.2,11.21,26/28,9.03,up,11.81,10.63,2026-08-02T10:30:00Z,67.5,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:02:05+00:00,in_season
morgan-ferrier,Morgan Ferrier,buona occasione,6.0,sconto 8% | trend in salita | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/morgan-ferrier,k-league-1,in season,0.5964,Incheon United FC,Jeju SK FC (trasferta),75.9,53.0,52.0,52.0,2.82,3.06,14/16,7.86,up,3.37,2.83,2026-08-02T10:30:00Z,67.5,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:01:55+00:00,in_season
sung-yun-gu,GU SUNG YUN,buona occasione,4.7,"sconto 16% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sung-yun-gu,k-league-1,in season,0.1662,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,5.66,6.77,15/17,16.47,down,5.76,8.28,2026-08-01T10:30:00Z,43.5,finestra gia' passata,2026-07-30T15:02:02+00:00,in_season
oberdan-alionco-de-lima,Oberdan,neutro,3.8,"sconto 15% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/oberdan-alionco-de-lima,k-league-1,in season,0.198,Jeonbuk Hyundai Motors FC,FC Seoul (casa),46.5,53.0,57.0,54.0,3.84,4.51,17/19,14.89,down,3.37,6.35,2026-08-01T10:30:00Z,43.5,finestra gia' passata,2026-07-30T15:02:00+00:00,in_season
