player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
anis-hadj-moussa,Anis Hadj Moussa,COMPRA ORA,13.2,"sconto 26% | trend in calo | partita tra 9.8gg, fuori finestra",https://sorare.com/it/football/players/anis-hadj-moussa,eredivisie,classic,0.2884,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),37.9,48.0,57.0,57.0,3.02,4.07,15/17,25.94,down,3.37,4.19,2026-08-09T10:15:00Z,236.2,05/08 22:15-06/08 22:15 UTC,2026-07-30T14:05:34+00:00,classic
joey-veerman,Joey Veerman,buona occasione,8.3,"sconto 15% | trend stabile | partita tra 9.2gg, fuori finestra",https://sorare.com/it/football/players/joey-veerman,eredivisie,classic,0.2924,PSV Eindhoven,Fortuna Sittard (casa),42.5,45.0,62.0,69.0,10.83,12.8,58/60,15.37,flat,13.04,12.71,2026-08-08T18:00:00Z,219.9,05/08 06:00-06/08 06:00 UTC,2026-07-30T14:07:48+00:00,classic
dusan-tadic,Dušan Tadić,buona occasione,6.8,"sconto 11% | trend in salita | partita tra 5.2gg, fuori finestra",https://sorare.com/it/football/players/dusan-tadic,eredivisie,classic,0.3056,N.E.C. Nijmegen,Olympiakos CFP (trasferta),51.3,59.0,61.0,61.0,2.74,3.08,67/69,11.11,up,3.48,2.96,2026-08-04T18:00:00Z,123.9,01/08 06:00-02/08 06:00 UTC,2026-07-30T14:07:06+00:00,classic
jorthy-mokio,Jorthy Mokio,neutro,3.8,"sconto 10% | trend stabile | partita tra 4h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/jorthy-mokio,eredivisie,classic,0.1853,AFC Ajax,FK Vojvodina Novi Sad (casa),37.2,54.0,55.0,47.0,4.83,5.4,14/16,10.47,flat,5.5,5.42,2026-07-30T18:00:00Z,3.9,finestra gia' passata,2026-07-30T14:05:24+00:00,classic
luciano-valente,Luciano Valente,neutro,3.6,"sconto 11% | trend in calo | partita tra 9.8gg, fuori finestra",https://sorare.com/it/football/players/luciano-valente,eredivisie,classic,0.3116,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),85.4,55.0,52.0,51.0,2.75,3.1,14/16,11.33,down,2.78,3.36,2026-08-09T10:15:00Z,236.2,05/08 22:15-06/08 22:15 UTC,2026-07-30T14:05:54+00:00,classic
sven-mijnans,Sven Mijnans,neutro,2.5,"sconto 6% | trend stabile | partita tra 9.2gg, fuori finestra",https://sorare.com/it/football/players/sven-mijnans,eredivisie,classic,0.2981,PSV Eindhoven,Fortuna Sittard (casa),86.5,49.0,59.0,57.0,4.69,4.99,21/23,5.99,flat,5.03,4.98,2026-08-08T18:00:00Z,219.9,05/08 06:00-06/08 06:00 UTC,2026-07-30T14:07:28+00:00,classic
matej-kovar,Matěj Kovář,neutro,1.7,"sconto 4% | trend stabile | partita tra 9.2gg, fuori finestra",https://sorare.com/it/football/players/matej-kovar,eredivisie,classic,0.2288,PSV Eindhoven,Fortuna Sittard (casa),32.7,45.0,43.0,45.0,8.5,8.89,45/47,4.38,flat,9.03,8.81,2026-08-08T18:00:00Z,219.9,05/08 06:00-06/08 06:00 UTC,2026-07-30T14:07:19+00:00,classic
leo-kokubo,Leo Kokubo,neutro,0.8,"sconto 3% | trend stabile | partita tra 9.2gg, fuori finestra",https://sorare.com/it/football/players/leo-kokubo,jupiler-pro-league,classic,0.174,Sint-Truidense VV,Lommel SK (casa),0.0,40.0,49.0,51.0,2.91,2.99,15/17,2.59,flat,3.01,2.95,2026-08-08T18:45:00Z,220.6,05/08 06:45-06/08 06:45 UTC,2026-07-30T14:09:07+00:00,classic
oscar-gluh,Oscar Gloukh,neutro,0.6,"sconto 2% | trend stabile | partita tra 4h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/oscar-gluh,eredivisie,classic,0.213,AFC Ajax,FK Vojvodina Novi Sad (casa),74.2,57.0,47.0,52.0,4.36,4.47,32/34,2.49,flat,4.48,4.51,2026-07-30T18:00:00Z,3.9,finestra gia' passata,2026-07-30T14:05:15+00:00,classic
carlos-roberto-forbs-borges,Carlos Forbs,neutro,0.3,"sconto 1% | trend stabile | partita tra 8.2gg, fuori finestra",https://sorare.com/it/football/players/carlos-roberto-forbs-borges,jupiler-pro-league,classic,0.2788,Club Brugge KV,KV Kortrijk (casa),62.4,66.0,60.0,57.0,5.5,5.54,20/22,0.81,flat,5.38,5.73,2026-08-07T18:45:00Z,196.6,04/08 06:45-05/08 06:45 UTC,2026-07-30T14:08:31+00:00,classic
