player_slug,player_name,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
nicolas-fernandez-mercau,Nicolás Fernández-Mercau,https://sorare.com/it/football/players/nicolas-fernandez-mercau,mlspa,classic,0.5986,New York City FC,Toronto FC (casa),73.1,76.0,71.0,62.0,13.46,13.27,28/30,-1.43,up,15.6,12.38,2026-07-31T23:30:00Z,88.5,classic
alonso-coello-camarero,Alonso Coello,https://sorare.com/it/football/players/alonso-coello-camarero,mlspa,in season,0.5974,Toronto FC,New York City FC (trasferta),55.4,65.0,62.0,56.0,5.2,7.3,34/36,28.77,down,5.17,7.73,2026-07-31T23:30:00Z,88.5,in_season
alonso-coello-camarero,Alonso Coello,https://sorare.com/it/football/players/alonso-coello-camarero,mlspa,classic,0.5724,Toronto FC,New York City FC (trasferta),55.4,65.0,62.0,56.0,1.31,1.49,22/24,12.08,down,1.19,1.51,2026-07-31T23:30:00Z,88.5,classic
walker-zimmerman,Walker Zimmerman,https://sorare.com/it/football/players/walker-zimmerman,mlspa,in season,0.5625,Toronto FC,New York City FC (trasferta),69.86,52.0,52.0,46.0,4.75,4.7,25/27,-1.14,flat,4.89,4.66,2026-07-31T23:30:00Z,88.5,in_season
luka-gavran,Luka Gavran,https://sorare.com/it/football/players/luka-gavran,mlspa,in season,0.5392,Toronto FC,New York City FC (trasferta),51.6,60.0,52.0,45.0,7.9,8.01,29/31,1.36,flat,8.12,8.04,2026-07-31T23:30:00Z,88.5,in_season
tayvon-gray,Tayvon Gray,https://sorare.com/it/football/players/tayvon-gray,mlspa,in season,0.5341,New York City FC,Toronto FC (casa),41.62,48.0,47.0,51.0,2.8,3.46,13/15,18.97,down,3.15,3.51,2026-07-31T23:30:00Z,88.5,in_season
luka-gavran,Luka Gavran,https://sorare.com/it/football/players/luka-gavran,mlspa,classic,0.5299,Toronto FC,New York City FC (trasferta),51.6,60.0,52.0,45.0,2.45,2.42,25/27,-1.44,up,3.12,2.35,2026-07-31T23:30:00Z,88.5,classic
walker-zimmerman,Walker Zimmerman,https://sorare.com/it/football/players/walker-zimmerman,mlspa,classic,0.5247,Toronto FC,New York City FC (trasferta),69.86,52.0,52.0,46.0,1.0,0.9,14/16,-11.46,up,1.45,0.81,2026-07-31T23:30:00Z,88.5,classic
freese-matthew,Matt Freese,https://sorare.com/it/football/players/freese-matthew,mlspa,classic,0.5173,New York City FC,Toronto FC (casa),39.4,48.0,49.0,47.0,3.28,3.68,22/24,10.92,down,2.64,3.75,2026-07-31T23:30:00Z,88.5,classic
thiago-martins-bueno,Thiago Martins,https://sorare.com/it/football/players/thiago-martins-bueno,mlspa,classic,0.5111,New York City FC,Toronto FC (casa),51.02,60.0,61.0,55.0,1.15,1.06,23/25,-8.31,up,1.33,1.03,2026-07-31T23:30:00Z,88.5,classic
nicolas-fernandez-mercau,Nicolás Fernández-Mercau,https://sorare.com/it/football/players/nicolas-fernandez-mercau,mlspa,in season,0.4958,New York City FC,Toronto FC (casa),73.1,76.0,71.0,62.0,40.95,22.79,48/50,-79.71,up,29.81,21.89,2026-07-31T23:30:00Z,88.5,in_season
freese-matthew,Matt Freese,https://sorare.com/it/football/players/freese-matthew,mlspa,in season,0.4881,New York City FC,Toronto FC (casa),39.4,48.0,49.0,47.0,11.98,11.49,27/29,-4.28,flat,11.9,11.41,2026-07-31T23:30:00Z,88.5,in_season
hannes-wolf,Hannes Wolf,https://sorare.com/it/football/players/hannes-wolf,mlspa,in season,0.4819,New York City FC,Toronto FC (casa),37.0,52.0,53.0,49.0,1.59,1.49,13/15,-6.55,flat,1.45,1.54,2026-07-31T23:30:00Z,88.5,in_season
andres-felipe-perea-castaneda,Andrés Perea,https://sorare.com/it/football/players/andres-felipe-perea-castaneda,mlspa,in season,0.4773,New York City FC,Toronto FC (casa),79.0,52.0,51.0,51.0,3.5,1.79,19/21,-95.24,up,2.32,1.38,2026-07-31T23:30:00Z,88.5,in_season
agustin-ojeda,Axel Ojeda,https://sorare.com/it/football/players/agustin-ojeda,mlspa,in season,0.4751,New York City FC,Toronto FC (casa),76.4,57.0,50.0,50.0,4.59,3.05,38/40,-50.57,up,4.21,2.8,2026-07-31T23:30:00Z,88.5,in_season
thiago-martins-bueno,Thiago Martins,https://sorare.com/it/football/players/thiago-martins-bueno,mlspa,in season,0.4702,New York City FC,Toronto FC (casa),51.02,60.0,61.0,55.0,7.96,6.44,37/39,-23.59,flat,6.68,6.42,2026-07-31T23:30:00Z,88.5,in_season
richie-laryea,Richie Laryea,https://sorare.com/it/football/players/richie-laryea,mlspa,in season,0.4511,Toronto FC,New York City FC (trasferta),41.42,48.0,54.0,48.0,3.09,2.6,26/28,-18.81,flat,2.57,2.6,2026-07-31T23:30:00Z,88.5,in_season
anthony-markanich,Anthony Markanich,https://sorare.com/it/football/players/anthony-markanich,mlspa,in season,0.4365,Minnesota United,San Diego FC (casa),48.58,47.0,56.0,51.0,3.45,7.32,15/17,52.86,down,4.43,8.56,2026-08-02T00:30:00Z,122.4,in_season
daniel-munie,Daniel Munie,https://sorare.com/it/football/players/daniel-munie,mlspa,in season,0.4343,San Jose Earthquakes,FC Cincinnati (trasferta),41.08,42.0,47.0,53.0,1.36,3.36,19/21,59.52,down,1.73,4.05,2026-08-01T23:30:00Z,121.4,in_season
antoine-griezmann,Antoine Griezmann,https://sorare.com/it/football/players/antoine-griezmann,mlspa,in season,0.433,Orlando City SC,New York Red Bulls (trasferta),58.4,65.0,59.0,52.0,10.55,17.61,70/72,40.1,flat,17.47,17.34,2026-08-01T23:30:00Z,112.5,in_season
daniel-de-sousa-brito,Daniel,https://sorare.com/it/football/players/daniel-de-sousa-brito,mlspa,in season,0.4216,FC Dallas,LA Galaxy (trasferta),47.2,40.0,38.0,45.0,2.7,5.85,21/23,53.86,down,3.83,6.31,2026-08-02T02:30:00Z,124.4,in_season
nico-cavallo,Nico Cavallo,https://sorare.com/it/football/players/nico-cavallo,mlspa,in season,0.4214,New York City FC,Toronto FC (casa),52.18,54.0,46.0,46.0,2.0,1.12,13/15,-77.96,up,1.88,1.06,2026-07-31T23:30:00Z,88.5,in_season
marco-reus,Marco Reus,https://sorare.com/it/football/players/marco-reus,mlspa,in season,0.4134,LA Galaxy,FC Dallas (casa),74.5,46.0,51.0,55.0,4.85,6.78,29/31,28.48,,,,2026-08-02T02:30:00Z,124.7,in_season
evander-da-silva-ferreira,Evander,https://sorare.com/it/football/players/evander-da-silva-ferreira,mlspa,classic,0.3995,FC Cincinnati,San Jose Earthquakes (casa),73.4,81.0,80.0,66.0,19.0,23.97,42/44,20.74,down,20.09,24.13,2026-08-01T23:30:00Z,112.5,classic
carles-gil-de-pareja-vicent,Carles Gil,https://sorare.com/it/football/players/carles-gil-de-pareja-vicent,mlspa,in season,0.3989,New England Revolution,CF Montreal (trasferta),85.7,67.0,70.0,67.0,45.0,48.34,26/28,6.9,flat,45.89,49.06,2026-08-01T23:30:00Z,112.5,in_season
anders-dreyer,Anders Dreyer,https://sorare.com/it/football/players/anders-dreyer,mlspa,classic,0.3906,San Diego FC,Minnesota United (trasferta),66.0,63.0,66.0,69.0,7.86,9.66,40/42,18.65,,,,2026-08-02T00:30:00Z,122.7,classic
carles-gil-de-pareja-vicent,Carles Gil,https://sorare.com/it/football/players/carles-gil-de-pareja-vicent,mlspa,classic,0.3905,New England Revolution,CF Montreal (trasferta),85.7,67.0,70.0,67.0,11.25,11.73,57/59,4.07,flat,10.94,11.98,2026-08-01T23:30:00Z,112.5,classic
marco-reus,Marco Reus,https://sorare.com/it/football/players/marco-reus,mlspa,classic,0.3886,LA Galaxy,FC Dallas (casa),74.5,46.0,51.0,55.0,1.14,1.43,16/18,20.21,,,,2026-08-02T02:30:00Z,124.7,classic
lawrence-ennali,Lawrence Ennali,https://sorare.com/it/football/players/lawrence-ennali,mlspa,in season,0.3865,Houston Dynamo FC,Sporting Kansas City  (trasferta),43.3,48.0,49.0,50.0,1.3,2.19,15/17,40.62,down,1.17,2.31,2026-08-02T00:30:00Z,122.4,in_season
onni-valakari,Onni Valakari,https://sorare.com/it/football/players/onni-valakari,mlspa,in season,0.3857,San Diego FC,Minnesota United (trasferta),66.4,67.0,55.0,53.0,3.05,3.77,24/26,19.01,,,,2026-08-02T00:30:00Z,122.7,in_season
manu-duah,Manu Duah,https://sorare.com/it/football/players/manu-duah,mlspa,in season,0.3854,San Diego FC,Minnesota United (trasferta),90.7,65.0,55.0,57.0,8.7,8.95,22/24,2.8,,,,2026-08-02T00:30:00Z,122.7,in_season
rafael-cabral-barbosa,Rafael Cabral,https://sorare.com/it/football/players/rafael-cabral-barbosa,mlspa,in season,0.3788,Real Salt Lake,St. Louis City SC (trasferta),43.2,49.0,49.0,49.0,4.58,7.39,24/26,37.95,down,4.28,7.74,2026-08-02T00:30:00Z,122.4,in_season
angus-gunn,Angus Gunn,https://sorare.com/it/football/players/angus-gunn,mlspa,in season,0.3778,San Jose Earthquakes,FC Cincinnati (trasferta),36.2,59.0,53.0,54.0,5.01,8.17,28/30,38.69,flat,7.55,8.33,2026-08-01T23:30:00Z,112.5,in_season
nouhou-tolo,Nouhou Tolo,https://sorare.com/it/football/players/nouhou-tolo,mlspa,in season,0.3715,Seattle Sounders FC,Portland Timbers (trasferta),41.12,69.0,57.0,52.0,5.9,8.48,28/30,30.42,down,6.32,9.22,2026-08-02T02:30:00Z,124.4,in_season
ahoueke-denkey,Kévin Denkey,https://sorare.com/it/football/players/ahoueke-denkey,mlspa,classic,0.3711,FC Cincinnati,San Jose Earthquakes (casa),83.2,63.0,60.0,56.0,2.55,2.63,44/46,2.88,flat,2.78,2.58,2026-08-01T23:30:00Z,112.5,classic
heung-min-son,Heung-min Son,https://sorare.com/it/football/players/heung-min-son,mlspa,classic,0.3687,Los Angeles FC,Vancouver Whitecaps FC (trasferta),70.8,55.0,55.0,61.0,9.0,10.3,25/27,12.59,flat,10.41,10.37,2026-08-01T23:30:00Z,121.4,classic
dylan-chambost,Dylan Chambost,https://sorare.com/it/football/players/dylan-chambost,mlspa,in season,0.3677,Columbus Crew,Inter Miami CF (trasferta),72.4,44.0,54.0,48.0,1.14,1.65,16/18,30.83,down,1.2,1.71,2026-08-01T23:30:00Z,112.5,in_season
marky-delgado,Mark Delgado,https://sorare.com/it/football/players/marky-delgado,mlspa,in season,0.3646,Los Angeles FC,Vancouver Whitecaps FC (trasferta),47.4,56.0,49.0,55.0,4.67,6.49,21/23,28.1,down,5.12,6.67,2026-08-01T23:30:00Z,121.4,in_season
beau-leroux,Beau Leroux,https://sorare.com/it/football/players/beau-leroux,mlspa,in season,0.3644,San Jose Earthquakes,FC Cincinnati (trasferta),42.8,53.0,58.0,53.0,6.42,9.26,19/21,30.69,,,9.26,2026-08-01T23:30:00Z,121.4,in_season
thomas-muller,Thomas Müller,https://sorare.com/it/football/players/thomas-muller,mlspa,in season,0.3633,Vancouver Whitecaps FC,Los Angeles FC (casa),48.6,53.0,59.0,62.0,5.45,11.08,14/16,50.83,down,6.52,12.59,2026-08-01T23:30:00Z,112.5,in_season
yohei-takaoka,Yohei Takaoka,https://sorare.com/it/football/players/yohei-takaoka,mlspa,classic,0.3615,Vancouver Whitecaps FC,Los Angeles FC (casa),77.8,39.0,46.0,53.0,3.0,3.92,21/23,23.38,down,3.31,3.98,2026-08-01T23:30:00Z,112.5,classic
joseph-paintsil,Joseph Paintsil,https://sorare.com/it/football/players/joseph-paintsil,mlspa,in season,0.3592,LA Galaxy,FC Dallas (casa),66.9,49.0,54.0,57.0,4.79,5.58,14/16,14.09,,,,2026-08-02T02:30:00Z,124.7,in_season
