player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
jin-gyu-kim,KIM JIN-GYU,neutro,2.3,"sconto 10% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/jin-gyu-kim,k-league-1,in season,0.1761,Jeonbuk Hyundai Motors FC,FC Seoul (casa),39.4,54.0,55.0,55.0,4.98,5.52,16/18,9.9,down,5.08,5.67,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:53+00:00,in_season
bong-soo-kim,Kim Bong-Soo,neutro,1.8,sconto 5% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/bong-soo-kim,k-league-1,in season,0.5463,Daejeon Citizen FC,Gwangju FC (casa),53.5,56.0,53.0,54.0,3.79,3.99,14/16,5.0,down,3.66,4.1,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:46+00:00,in_season
jakob-tranziska,Jakob Tranziska,neutro,0.6,"sconto 3% | trend in calo | partita tra 43h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/jakob-tranziska,k-league-1,in season,0.1763,Pohang Steelers FC,Gimcheon Sangmu (casa),48.4,62.0,53.0,47.0,3.81,3.94,17/19,3.26,down,3.66,4.06,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:57+00:00,in_season
chang-min-lee,Lee Chang-Min,neutro,0.4,sconto 1% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/chang-min-lee,k-league-1,in season,0.5193,Jeju SK FC,Incheon United FC (casa),38.7,61.0,57.0,53.0,2.78,2.82,14/16,1.34,down,2.66,2.83,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:52+00:00,in_season
dong-kyung-lee,Lee Dong-Gyeong,evita (sovrapprezzo),0.0,"prezzo 1% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,classic,0.5801,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,3.68,3.66,17/19,-0.53,up,3.85,3.54,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:59+00:00,classic
erick-samuel-correa-farias,Erick Farias,evita (sovrapprezzo),0.0,"prezzo 14% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/erick-samuel-correa-farias,k-league-1,in season,0.5005,Ulsan Hyundai Horang-i,FC Anyang (casa),74.3,59.0,42.0,44.0,2.75,2.41,22/24,-14.13,up,2.67,2.4,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:58+00:00,in_season
dae-won-kim,Kim Dae-Won,evita (sovrapprezzo),0.0,"prezzo 1% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/dae-won-kim,k-league-1,classic,0.2309,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,4.3,4.26,29/31,-1.03,flat,4.39,4.23,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:48+00:00,classic
gi-hyuk-lee,Lee Gi-Hyeok,evita (sovrapprezzo),0.0,"prezzo 2% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/gi-hyuk-lee,k-league-1,in season,0.2236,Gangwon FC,Bucheon FC 1995 (casa),78.3,79.0,68.0,62.0,11.5,11.3,33/35,-1.76,flat,11.63,11.2,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:48+00:00,in_season
gi-hyuk-lee,Lee Gi-Hyeok,evita (sovrapprezzo),0.0,"prezzo 2% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/gi-hyuk-lee,k-league-1,classic,0.2205,Gangwon FC,Bucheon FC 1995 (casa),78.3,79.0,68.0,62.0,4.33,4.24,19/21,-2.12,up,4.85,4.12,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:48+00:00,classic
bum-keun-song,SONG BUMKEUN,evita (sovrapprezzo),0.0,"prezzo 1% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/bum-keun-song,k-league-1,classic,0.2154,Jeonbuk Hyundai Motors FC,FC Seoul (casa),76.6,63.0,66.0,59.0,4.5,4.47,16/18,-0.73,flat,4.38,4.51,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:57+00:00,classic
bum-keun-song,SONG BUMKEUN,evita (sovrapprezzo),0.0,"prezzo 11% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/bum-keun-song,k-league-1,in season,0.1711,Jeonbuk Hyundai Motors FC,FC Seoul (casa),76.6,63.0,66.0,59.0,8.5,7.68,31/33,-10.71,up,8.93,7.4,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:57+00:00,in_season
hyun-woo-cho,Jo Hyeon-Woo,evita (sovrapprezzo),0.0,"prezzo 16% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/hyun-woo-cho,k-league-1,in season,0.1449,Ulsan Hyundai Horang-i,FC Anyang (casa),60.0,47.0,51.0,51.0,4.5,3.88,16/18,-16.02,flat,4.01,3.87,2026-08-02T10:30:00Z,66.7,29/07 22:30-30/07 22:30 UTC,2026-07-30T15:50:59+00:00,in_season
gytis-paulauskas,Gytis Paulauskas,evita (sovrapprezzo),0.0,"prezzo 27% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/gytis-paulauskas,k-league-1,in season,0.0188,Jeonbuk Hyundai Motors FC,FC Seoul (casa),66.0,46.0,41.0,43.0,3.11,2.44,14/16,-27.46,up,3.33,2.3,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:53+00:00,in_season
cheong-hyo-park,Park Cheong-Hyo,evita (sovrapprezzo),0.0,"prezzo 17% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/cheong-hyo-park,k-league-1,in season,0.0175,Gangwon FC,Bucheon FC 1995 (casa),28.4,49.0,58.0,51.0,9.99,8.5,26/28,-17.42,up,9.71,8.29,2026-08-01T10:30:00Z,42.7,finestra gia' passata,2026-07-30T15:50:51+00:00,in_season
juan-antonio-ros-martinez,Ros,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/juan-antonio-ros-martinez,k-league-1,in season,0.6126,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),59.18,60.0,55.0,57.0,2.6,4.17,17/19,37.68,down,2.97,4.87,2026-08-01T10:30:00Z,62.8,finestra gia' passata,,in_season
anderson-de-oliveira-da-silva,Anderson Oliveira,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/anderson-de-oliveira-da-silva,k-league-1,in season,0.5754,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),43.5,54.0,53.0,48.0,2.89,4.31,19/21,32.97,down,3.81,4.37,2026-08-01T10:30:00Z,50.7,finestra gia' passata,,in_season
joo-yong-lee,Lee Ju-Yong,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/joo-yong-lee,k-league-1,in season,0.5608,Incheon United FC,Jeju SK FC (trasferta),50.62,57.0,57.0,56.0,2.67,3.18,13/15,16.03,down,2.48,3.5,2026-08-02T10:30:00Z,91.1,29/07 22:30-30/07 22:30 UTC,,in_season
yago-cariello-ribeiro,YAGO,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/yago-cariello-ribeiro,k-league-1,in season,0.5491,Ulsan Hyundai Horang-i,FC Anyang (casa),63.1,58.0,49.0,55.0,2.5,2.5,19/21,-0.06,flat,2.62,2.45,2026-08-02T10:30:00Z,86.8,29/07 22:30-30/07 22:30 UTC,,in_season
darijan-bojanic,Darijan Bojanić,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/darijan-bojanic,k-league-1,in season,0.2712,Ulsan Hyundai Horang-i,FC Anyang (casa),41.8,45.0,50.0,52.0,2.5,3.26,16/18,23.2,down,2.82,3.43,2026-08-02T10:30:00Z,96.9,29/07 22:30-30/07 22:30 UTC,,in_season
ho-jae-lee,Lee Ho-Jae,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/ho-jae-lee,k-league-1,in season,0.1432,Pohang Steelers FC,Gimcheon Sangmu (casa),48.2,46.0,47.0,53.0,3.85,3.09,28/30,-24.45,down,2.58,3.3,2026-08-01T10:30:00Z,62.8,finestra gia' passata,,in_season
jin-su-kim,Kim Jin-Su,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/jin-su-kim,k-league-1,in season,0.1346,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),53.84,52.0,55.0,57.0,2.83,2.27,14/16,-24.59,flat,2.32,2.18,2026-08-01T10:30:00Z,67.1,finestra gia' passata,,in_season
