player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
cheong-hyo-park,Park Cheong-Hyo,COMPRA ORA,26.3,"sconto 61% | trend in calo | partita tra 11.1gg, fuori finestra",https://sorare.com/it/football/players/cheong-hyo-park,k-league-1,in season,0.3545,Gangwon FC,Ulsan Hyundai Horang-i (trasferta),30.6,48.0,55.0,51.0,3.57,9.06,14/16,60.6,down,4.13,9.71,2026-08-16T10:30:00Z,266.8,12/08 22:30-13/08 22:30 UTC,2026-08-05T07:42:45+00:00,in_season
dae-won-kim,Kim Dae-Won,COMPRA ORA,24.6,"sconto 41% | trend in calo | partita tra 11.1gg, fuori finestra",https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.3334,Gangwon FC,Ulsan Hyundai Horang-i (trasferta),38.3,65.0,62.0,54.0,6.15,10.48,33/35,41.32,down,5.69,10.61,2026-08-16T10:30:00Z,266.8,12/08 22:30-13/08 22:30 UTC,2026-08-05T07:42:42+00:00,in_season
gi-hyuk-lee,Lee Gi-Hyeok,COMPRA ORA,24.0,"sconto 40% | trend in calo | partita tra 11.1gg, fuori finestra",https://sorare.com/it/football/players/gi-hyuk-lee,k-league-1,in season,0.3395,Gangwon FC,Ulsan Hyundai Horang-i (trasferta),39.96,71.0,66.0,61.0,6.99,11.74,25/27,40.45,down,7.47,11.88,2026-08-16T10:30:00Z,266.8,12/08 22:30-13/08 22:30 UTC,2026-08-05T07:42:43+00:00,in_season
dae-won-kim,Kim Dae-Won,COMPRA ORA,20.6,"sconto 36% | trend in calo | partita tra 11.1gg, fuori finestra",https://sorare.com/it/football/players/dae-won-kim,k-league-1,classic,0.3209,Gangwon FC,Ulsan Hyundai Horang-i (trasferta),38.3,65.0,62.0,54.0,2.8,4.36,30/32,35.85,down,2.6,4.41,2026-08-16T10:30:00Z,266.8,12/08 22:30-13/08 22:30 UTC,2026-08-05T07:42:42+00:00,classic
joon-hyuck-kang,Kang Joon-Hyuck,COMPRA ORA,18.6,"sconto 33% | trend in calo | partita tra 11.1gg, fuori finestra",https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.2996,Gangwon FC,Ulsan Hyundai Horang-i (trasferta),29.74,59.0,63.0,56.0,4.8,7.18,18/20,33.14,down,4.54,7.51,2026-08-16T10:30:00Z,266.8,12/08 22:30-13/08 22:30 UTC,2026-08-05T07:42:29+00:00,in_season
jin-gyu-kim,KIM JIN-GYU,COMPRA ORA,18.0,sconto 25% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/jin-gyu-kim,k-league-1,in season,0.5829,Jeonbuk Hyundai Motors FC,Jeju SK FC (casa),47.9,53.0,53.0,54.0,2.7,3.62,15/17,25.44,down,2.48,4.36,2026-08-08T10:30:00Z,74.8,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:44:57+00:00,in_season
dong-kyung-lee,Lee Dong-Gyeong,COMPRA ORA,16.0,sconto 24% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.6529,Ulsan Hyundai Horang-i,Pohang Steelers FC (trasferta),87.9,70.0,66.0,64.0,9.0,11.77,30/32,23.51,down,10.79,11.89,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:47:50+00:00,in_season
jakob-tranziska,Jakob Tranziska,COMPRA ORA,13.7,sconto 21% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/jakob-tranziska,k-league-1,in season,0.5605,Pohang Steelers FC,Ulsan Hyundai Horang-i (casa),37.6,62.0,51.0,47.0,2.94,3.74,16/18,21.28,down,2.43,3.81,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:45:56+00:00,in_season
hyun-woo-cho,Jo Hyeon-Woo,COMPRA ORA,13.0,sconto 21% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/hyun-woo-cho,k-league-1,in season,0.5438,Ulsan Hyundai Horang-i,Pohang Steelers FC (trasferta),33.5,43.0,50.0,51.0,2.99,3.76,13/15,20.58,down,3.33,3.84,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:47:35+00:00,in_season
matheus-oliveira-santos,Matheus Oliveira,COMPRA ORA,12.6,sconto 20% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,in season,0.6011,FC Anyang,Daejeon Citizen FC (casa),60.0,69.0,62.0,60.0,7.25,9.09,26/28,20.24,down,7.13,9.58,2026-08-08T10:30:00Z,74.8,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:41:11+00:00,in_season
seung-won-jung,Jeong Seung-Won,COMPRA ORA,11.8,sconto 19% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.5797,FC Seoul,Gimcheon Sangmu (trasferta),49.1,68.0,61.0,48.0,3.88,4.81,23/25,19.41,down,3.49,5.07,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:47:06+00:00,in_season
chang-geun-lee,Lee Chang-Geun,buona occasione,7.8,sconto 16% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/chang-geun-lee,k-league-1,in season,0.5971,Daejeon Citizen FC,FC Anyang (trasferta),73.0,55.0,49.0,50.0,3.23,3.83,16/18,15.58,down,2.59,3.96,2026-08-08T10:30:00Z,74.8,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:42:11+00:00,in_season
sung-yun-gu,GU SUNG YUN,buona occasione,5.7,sconto 12% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/sung-yun-gu,k-league-1,in season,0.5928,FC Seoul,Gimcheon Sangmu (trasferta),76.2,54.0,55.0,50.0,5.29,6.04,22/24,12.46,down,5.47,6.21,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:46:56+00:00,in_season
bum-keun-song,SONG BUMKEUN,buona occasione,4.1,sconto 10% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/bum-keun-song,k-league-1,classic,0.5905,Jeonbuk Hyundai Motors FC,Jeju SK FC (casa),70.6,64.0,63.0,60.0,3.8,4.2,19/21,9.54,down,3.25,4.33,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:45:34+00:00,classic
patryk-klimala,Patryk Klimala,neutro,3.0,sconto 4% | trend in salita | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/patryk-klimala,k-league-1,in season,0.5159,FC Seoul,Gimcheon Sangmu (trasferta),31.5,50.0,48.0,49.0,2.5,2.62,18/20,4.44,up,2.83,2.59,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:47:07+00:00,in_season
kim-gun-hee,Kim Geon-Hui,neutro,1.9,"sconto 7% | trend in calo | partita tra 11.1gg, fuori finestra",https://sorare.com/it/football/players/kim-gun-hee,k-league-1,in season,0.3579,Incheon United FC,Gimcheon Sangmu (casa),100.0,79.0,72.0,63.0,5.49,5.9,22/24,6.91,down,5.5,5.94,2026-08-16T10:30:00Z,266.8,12/08 22:30-13/08 22:30 UTC,2026-08-05T07:43:48+00:00,in_season
bum-keun-song,SONG BUMKEUN,neutro,1.2,sconto 4% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/bum-keun-song,k-league-1,in season,0.577,Jeonbuk Hyundai Motors FC,Jeju SK FC (casa),70.6,64.0,63.0,60.0,8.69,9.02,29/31,3.61,down,8.69,9.16,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:45:34+00:00,in_season
dong-kyung-lee,Lee Dong-Gyeong,evita (sovrapprezzo),0.0,"prezzo 7% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,classic,0.5763,Ulsan Hyundai Horang-i,Pohang Steelers FC (trasferta),87.9,70.0,66.0,64.0,4.67,4.38,17/19,-6.62,flat,4.55,4.37,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:47:50+00:00,classic
oberdan-alionco-de-lima,Oberdan,evita (sovrapprezzo),0.0,"prezzo 13% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/oberdan-alionco-de-lima,k-league-1,in season,0.4882,Jeonbuk Hyundai Motors FC,Jeju SK FC (casa),60.0,57.0,59.0,54.0,4.1,3.61,29/31,-13.45,up,4.26,3.46,2026-08-08T10:30:00Z,74.7,04/08 22:30-05/08 22:30 UTC,2026-08-05T07:45:04+00:00,in_season
kim-gun-hee,Kim Geon-Hui,evita (sovrapprezzo),0.0,"prezzo 1% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/kim-gun-hee,k-league-1,classic,0.339,Incheon United FC,Gimcheon Sangmu (casa),100.0,79.0,72.0,63.0,2.5,2.46,24/26,-1.42,down,2.26,2.47,2026-08-16T10:30:00Z,266.8,12/08 22:30-13/08 22:30 UTC,2026-08-05T07:43:48+00:00,classic
juan-antonio-ros-martinez,Ros,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/juan-antonio-ros-martinez,k-league-1,in season,0.6126,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),59.18,60.0,55.0,57.0,2.6,4.17,17/19,37.68,down,2.97,4.87,2026-08-01T10:30:00Z,62.8,finestra gia' passata,,in_season
morgan-ferrier,Morgan Ferrier,dato non aggiornato,0.0,"dato vecchio (135h fa), prezzo non verificato in questa run",https://sorare.com/it/football/players/morgan-ferrier,k-league-1,in season,0.5791,Incheon United FC,Jeju SK FC (trasferta),75.9,53.0,52.0,52.0,2.82,3.05,14/16,7.52,down,2.66,3.2,2026-08-02T10:30:00Z,64.9,finestra gia' passata,2026-07-30T17:34:04+00:00,in_season
anderson-de-oliveira-da-silva,Anderson Oliveira,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/anderson-de-oliveira-da-silva,k-league-1,in season,0.5754,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),43.5,54.0,53.0,48.0,2.89,4.31,19/21,32.97,down,3.81,4.37,2026-08-01T10:30:00Z,50.7,finestra gia' passata,,in_season
juan-fernandez-blanco,Juan Ibiza,dato non aggiornato,0.0,"dato vecchio (135h fa), prezzo non verificato in questa run",https://sorare.com/it/football/players/juan-fernandez-blanco,k-league-1,in season,0.5683,Incheon United FC,Jeju SK FC (trasferta),32.66,53.0,59.0,53.0,3.17,4.42,13/15,28.34,down,2.32,4.5,2026-08-02T10:30:00Z,64.9,finestra gia' passata,2026-07-30T17:34:03+00:00,in_season
yago-cariello-ribeiro,YAGO,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/yago-cariello-ribeiro,k-league-1,in season,0.5491,Ulsan Hyundai Horang-i,FC Anyang (casa),63.1,58.0,49.0,55.0,2.5,2.5,19/21,-0.06,flat,2.62,2.45,2026-08-02T10:30:00Z,86.8,finestra gia' passata,,in_season
chang-min-lee,Lee Chang-Min,dato non aggiornato,0.0,"dato vecchio (135h fa), prezzo non verificato in questa run",https://sorare.com/it/football/players/chang-min-lee,k-league-1,in season,0.5202,Jeju SK FC,Incheon United FC (casa),38.7,61.0,57.0,53.0,2.78,2.82,14/16,1.34,,,2.82,2026-08-02T10:30:00Z,64.9,finestra gia' passata,2026-07-30T17:34:06+00:00,in_season
darijan-bojanic,Darijan Bojanić,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/darijan-bojanic,k-league-1,in season,0.2712,Ulsan Hyundai Horang-i,FC Anyang (casa),41.8,45.0,50.0,52.0,2.5,3.26,16/18,23.2,down,2.82,3.43,2026-08-02T10:30:00Z,96.9,finestra gia' passata,,in_season
ho-jae-lee,Lee Ho-Jae,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/ho-jae-lee,k-league-1,in season,0.1432,Pohang Steelers FC,Gimcheon Sangmu (casa),48.2,46.0,47.0,53.0,3.85,3.09,28/30,-24.45,down,2.58,3.3,2026-08-01T10:30:00Z,62.8,finestra gia' passata,,in_season
jin-su-kim,Kim Jin-Su,dato non aggiornato,0.0,"dato vecchio (mai aggiornata), prezzo non verificato in questa run",https://sorare.com/it/football/players/jin-su-kim,k-league-1,in season,0.1346,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),53.84,52.0,55.0,57.0,2.83,2.27,14/16,-24.59,flat,2.32,2.18,2026-08-01T10:30:00Z,67.1,finestra gia' passata,,in_season
erick-samuel-correa-farias,Erick Farias,dato non aggiornato,0.0,"dato vecchio (134h fa), prezzo non verificato in questa run",https://sorare.com/it/football/players/erick-samuel-correa-farias,k-league-1,in season,0.1293,Ulsan Hyundai Horang-i,FC Anyang (casa),74.3,59.0,42.0,44.0,3.2,2.43,23/25,-31.64,up,2.75,2.4,2026-08-02T10:30:00Z,64.9,finestra gia' passata,2026-07-30T17:35:31+00:00,in_season
