player_slug,player_name,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
alonso-coello-camarero,Alonso Coello,https://sorare.com/it/football/players/alonso-coello-camarero,mlspa,in season,0.5912,Toronto FC,New York City FC (trasferta),55.4,63.0,62.0,56.0,5.2,7.1,31/33,26.74,down,5.11,7.47,2026-07-31T23:30:00Z,75.2,in_season
alonso-coello-camarero,Alonso Coello,https://sorare.com/it/football/players/alonso-coello-camarero,mlspa,classic,0.5787,Toronto FC,New York City FC (trasferta),55.4,63.0,62.0,56.0,1.2,1.49,18/20,19.61,down,1.19,1.51,2026-07-31T23:30:00Z,75.2,classic
luka-gavran,Luka Gavran,https://sorare.com/it/football/players/luka-gavran,mlspa,in season,0.5595,Toronto FC,New York City FC (trasferta),51.6,58.0,52.0,46.0,7.5,8.16,26/28,8.08,flat,7.43,8.22,2026-07-31T23:30:00Z,75.2,in_season
walker-zimmerman,Walker Zimmerman,https://sorare.com/it/football/players/walker-zimmerman,mlspa,in season,0.5558,Toronto FC,New York City FC (trasferta),69.86,61.0,51.0,46.0,4.75,4.7,25/27,-1.14,flat,4.79,4.69,2026-07-31T23:30:00Z,75.2,in_season
walker-zimmerman,Walker Zimmerman,https://sorare.com/it/football/players/walker-zimmerman,mlspa,classic,0.5376,Toronto FC,New York City FC (trasferta),69.86,52.0,52.0,46.0,1.0,0.93,13/15,-7.88,up,1.45,0.83,2026-07-31T23:30:00Z,86.8,classic
thiago-martins-bueno,Thiago Martins,https://sorare.com/it/football/players/thiago-martins-bueno,mlspa,classic,0.5322,New York City FC,Toronto FC (casa),51.02,58.0,60.0,55.0,1.1,1.09,22/24,-1.34,down,0.84,1.1,2026-07-31T23:30:00Z,75.2,classic
nicolas-fernandez-mercau,Nicolás Fernández-Mercau,https://sorare.com/it/football/players/nicolas-fernandez-mercau,mlspa,classic,0.5313,New York City FC,Toronto FC (casa),73.1,74.0,73.0,62.0,15.0,13.41,29/31,-11.83,up,14.96,12.82,2026-07-31T23:30:00Z,75.3,classic
luka-gavran,Luka Gavran,https://sorare.com/it/football/players/luka-gavran,mlspa,classic,0.5272,Toronto FC,New York City FC (trasferta),51.6,58.0,52.0,46.0,2.45,2.43,25/27,-0.96,up,2.79,2.37,2026-07-31T23:30:00Z,75.2,classic
freese-matthew,Matt Freese,https://sorare.com/it/football/players/freese-matthew,mlspa,classic,0.5244,New York City FC,Toronto FC (casa),39.4,41.0,46.0,47.0,3.2,3.65,16/18,12.34,down,3.31,3.79,2026-07-31T23:30:00Z,75.2,classic
joshua-sargent,Josh Sargent,https://sorare.com/it/football/players/joshua-sargent,mlspa,in season,0.5161,Toronto FC,New York City FC (trasferta),0.0,52.0,49.0,48.0,1.58,2.54,13/15,37.58,down,1.58,3.16,2026-07-31T23:30:00Z,75.2,in_season
