player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
vasileios-barkas,Vasilis Barkas,evita (sovrapprezzo),0.0,"prezzo 6% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/vasileios-barkas,eredivisie,classic,0.2374,FC Utrecht,FC Groningen (trasferta),59.6,59.0,56.0,47.0,3.4,3.2,41/43,-6.33,up,3.79,3.01,2026-08-09T12:30:00Z,234.9,06/08 00:30-07/08 00:30 UTC,2026-07-30T17:38:47+00:00,classic
joey-veerman,Joey Veerman,evita (sovrapprezzo),0.0,"prezzo 1% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/joey-veerman,eredivisie,classic,0.2365,PSV Eindhoven,Fortuna Sittard (casa),42.5,45.0,62.0,69.0,12.81,12.69,61/63,-0.96,down,11.87,12.85,2026-08-08T18:00:00Z,216.4,05/08 06:00-06/08 06:00 UTC,2026-07-30T17:38:18+00:00,classic
lucca-kiaba-mounganga,Lucca Kiaba Mounganga,evita (sovrapprezzo),0.0,"prezzo 3% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/lucca-kiaba-mounganga,jupiler-pro-league,classic,0.2353,KRC Genk,SV Zulte-Waregem (trasferta),41.4,71.0,57.0,55.0,9.0,8.74,25/27,-2.96,flat,8.74,8.84,2026-08-09T14:00:00Z,236.3,06/08 02:00-07/08 02:00 UTC,2026-07-30T17:39:01+00:00,classic
rome-jayden-owusu-oduro,Rome-Jayden Owusu-Oduro,evita (sovrapprezzo),0.0,"prezzo 2% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/rome-jayden-owusu-oduro,eredivisie,classic,0.2266,AZ,HFC ADO Den Haag (casa),42.8,48.0,43.0,48.0,6.7,6.58,30/32,-1.82,down,6.27,6.69,2026-08-08T19:00:00Z,217.4,05/08 07:00-06/08 07:00 UTC,2026-07-30T17:35:51+00:00,classic
hans-vanaken,Hans Vanaken,evita (sovrapprezzo),0.0,"prezzo 3% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/hans-vanaken,jupiler-pro-league,classic,0.2234,Club Brugge KV,KV Kortrijk (casa),36.1,57.0,55.0,59.0,5.9,5.71,52/54,-3.31,down,4.96,6.22,2026-08-07T18:45:00Z,193.1,04/08 06:45-05/08 06:45 UTC,2026-07-30T17:39:19+00:00,classic
matej-kovar,Matěj Kovář,evita (sovrapprezzo),0.0,"prezzo 1% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/matej-kovar,eredivisie,classic,0.2091,PSV Eindhoven,Fortuna Sittard (casa),32.7,45.0,43.0,45.0,9.0,8.89,48/50,-1.25,flat,8.94,8.83,2026-08-08T18:00:00Z,216.4,05/08 06:00-06/08 06:00 UTC,2026-07-30T17:37:59+00:00,classic
mika-marmol-medina,Mika Màrmol,evita (sovrapprezzo),0.0,"prezzo 4% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/mika-marmol-medina,eredivisie,classic,0.2028,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),37.42,40.0,43.0,53.0,2.55,2.46,14/16,-3.84,up,2.58,2.44,2026-08-09T10:15:00Z,232.6,05/08 22:15-06/08 22:15 UTC,2026-07-30T17:36:31+00:00,classic
mika-marcel-godts,Mika Godts,evita (sovrapprezzo),0.0,"prezzo 13% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/mika-marcel-godts,eredivisie,classic,0.1893,AFC Ajax,FK Vojvodina Novi Sad (casa),100.0,70.0,72.0,65.0,21.8,19.35,77/79,-12.64,up,22.54,19.11,2026-07-30T18:00:00Z,0.4,finestra gia' passata,2026-07-30T17:36:24+00:00,classic
ricardo-pepi,Ricardo Pepi,evita (sovrapprezzo),0.0,"prezzo 10% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/ricardo-pepi,eredivisie,classic,0.1815,PSV Eindhoven,Fortuna Sittard (casa),39.7,36.0,50.0,54.0,3.92,3.58,23/25,-9.57,up,3.99,3.5,2026-08-08T18:00:00Z,216.4,05/08 06:00-06/08 06:00 UTC,2026-07-30T17:37:52+00:00,classic
lucas-oliveira-rosa,Lucas Rosa,evita (sovrapprezzo),0.0,"prezzo 10% SOPRA la sua media 7gg (sovrapprezzo, non e' un affare)",https://sorare.com/it/football/players/lucas-oliveira-rosa,eredivisie,classic,0.1801,AFC Ajax,FK Vojvodina Novi Sad (casa),72.02,69.0,68.0,55.0,5.48,5.0,58/60,-9.68,flat,5.12,4.99,2026-07-30T18:00:00Z,0.4,finestra gia' passata,2026-07-30T17:36:29+00:00,classic
