player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
matheus-oliveira-santos,Matheus Oliveira,COMPRA ORA,22.1,sconto 29% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,in season,0.5967,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,9.28,13.15,23/25,29.41,down,10.5,13.59,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:34:00+00:00,in_season
juan-fernandez-blanco,Juan Ibiza,COMPRA ORA,21.0,sconto 28% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/juan-fernandez-blanco,k-league-1,in season,0.5683,Incheon United FC,Jeju SK FC (trasferta),32.66,53.0,59.0,53.0,3.17,4.42,13/15,28.34,down,2.32,4.5,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:34:03+00:00,in_season
seung-won-jung,Jeong Seung-Won,COMPRA ORA,11.1,"sconto 28% | trend in calo | partita tra 41h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.2729,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,5.32,7.39,22/24,28.08,down,5.25,7.6,2026-08-01T10:30:00Z,40.9,finestra gia' passata,2026-07-30T17:35:19+00:00,in_season
seo-jae-min,Seo Jae-Min,COMPRA ORA,10.3,sconto 18% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.5905,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,5.0,6.1,15/17,17.99,down,5.16,6.46,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:34:05+00:00,in_season
kim-gun-hee,Kim Geon-Hui,buona occasione,9.1,sconto 17% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/kim-gun-hee,k-league-1,in season,0.5988,Incheon United FC,Jeju SK FC (trasferta),62.36,71.0,65.0,60.0,6.58,7.91,22/24,16.83,down,6.39,8.31,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:34:07+00:00,in_season
joon-hyuck-kang,Kang Joon-Hyuck,buona occasione,7.9,"sconto 22% | trend in calo | partita tra 41h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.2258,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,8.17,10.5,19/21,22.2,down,8.92,11.29,2026-08-01T10:30:00Z,40.9,finestra gia' passata,2026-07-30T17:34:02+00:00,in_season
chang-geun-lee,Lee Chang-Geun,buona occasione,7.6,sconto 15% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/chang-geun-lee,k-league-1,in season,0.5246,Daejeon Citizen FC,Gwangju FC (casa),27.1,49.0,49.0,49.0,3.5,4.14,17/19,15.38,down,3.62,4.2,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:34:01+00:00,in_season
matheus-oliveira-santos,Matheus Oliveira,buona occasione,6.7,sconto 14% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/matheus-oliveira-santos,k-league-1,classic,0.562,FC Anyang,Ulsan Hyundai Horang-i (trasferta),41.7,72.0,64.0,60.0,4.73,5.51,17/19,14.19,down,4.18,5.58,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:34:00+00:00,classic
dong-kyung-lee,Lee Dong-Gyeong,buona occasione,6.1,sconto 9% | trend stabile | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.6152,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,10.2,11.26,28/30,9.38,flat,11.06,11.3,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:35:42+00:00,in_season
sung-yun-gu,GU SUNG YUN,buona occasione,6.0,"sconto 16% | trend sconosciuto | partita tra 41h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sung-yun-gu,k-league-1,classic,0.1771,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,3.17,3.78,14/16,16.28,,,3.78,2026-08-01T10:30:00Z,40.9,finestra gia' passata,2026-07-30T17:35:18+00:00,classic
sung-yun-gu,GU SUNG YUN,buona occasione,5.2,"sconto 17% | trend in calo | partita tra 41h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/sung-yun-gu,k-league-1,in season,0.1684,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,5.5,6.66,16/18,17.43,down,6.07,6.88,2026-08-01T10:30:00Z,40.9,finestra gia' passata,2026-07-30T17:35:18+00:00,in_season
oberdan-alionco-de-lima,Oberdan,neutro,3.4,"sconto 14% | trend in calo | partita tra 41h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/oberdan-alionco-de-lima,k-league-1,in season,0.195,Jeonbuk Hyundai Motors FC,FC Seoul (casa),46.5,53.0,57.0,54.0,3.8,4.4,19/21,13.55,down,3.34,5.01,2026-08-01T10:30:00Z,40.9,finestra gia' passata,2026-07-30T17:34:08+00:00,in_season
morgan-ferrier,Morgan Ferrier,neutro,2.9,sconto 8% | trend in calo | DENTRO la finestra ideale ora,https://sorare.com/it/football/players/morgan-ferrier,k-league-1,in season,0.5791,Incheon United FC,Jeju SK FC (trasferta),75.9,53.0,52.0,52.0,2.82,3.05,14/16,7.52,down,2.66,3.2,2026-08-02T10:30:00Z,64.9,29/07 22:30-30/07 22:30 UTC,2026-07-30T17:34:04+00:00,in_season
jin-gyu-kim,KIM JIN-GYU,neutro,2.3,"sconto 10% | trend in calo | partita tra 41h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/jin-gyu-kim,k-league-1,in season,0.1761,Jeonbuk Hyundai Motors FC,FC Seoul (casa),39.4,54.0,55.0,55.0,4.98,5.52,16/18,9.9,down,5.08,5.67,2026-08-01T10:30:00Z,40.9,finestra gia' passata,2026-07-30T17:34:07+00:00,in_season
