player_slug,player_name,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
nicolas-fernandez-mercau,Nicolás Fernández-Mercau,https://sorare.com/it/football/players/nicolas-fernandez-mercau,mlspa,classic,0.5986,New York City FC,Toronto FC (casa),73.1,76.0,71.0,62.0,13.46,13.27,28/30,-1.43,up,15.6,12.38,2026-07-31T23:30:00Z,88.1,classic
alonso-coello-camarero,Alonso Coello,https://sorare.com/it/football/players/alonso-coello-camarero,mlspa,in season,0.5974,Toronto FC,New York City FC (trasferta),55.4,65.0,62.0,56.0,5.2,7.3,34/36,28.77,down,5.17,7.73,2026-07-31T23:30:00Z,88.0,in_season
alonso-coello-camarero,Alonso Coello,https://sorare.com/it/football/players/alonso-coello-camarero,mlspa,classic,0.5724,Toronto FC,New York City FC (trasferta),55.4,65.0,62.0,56.0,1.31,1.49,22/24,12.08,down,1.19,1.51,2026-07-31T23:30:00Z,88.0,classic
walker-zimmerman,Walker Zimmerman,https://sorare.com/it/football/players/walker-zimmerman,mlspa,in season,0.5625,Toronto FC,New York City FC (trasferta),69.86,52.0,52.0,46.0,4.75,4.7,25/27,-1.14,flat,4.94,4.66,2026-07-31T23:30:00Z,88.0,in_season
luka-gavran,Luka Gavran,https://sorare.com/it/football/players/luka-gavran,mlspa,in season,0.5392,Toronto FC,New York City FC (trasferta),51.6,60.0,52.0,45.0,7.9,8.01,29/31,1.36,flat,8.12,8.04,2026-07-31T23:30:00Z,88.0,in_season
luka-gavran,Luka Gavran,https://sorare.com/it/football/players/luka-gavran,mlspa,classic,0.53,Toronto FC,New York City FC (trasferta),51.6,60.0,52.0,45.0,2.45,2.42,25/27,-1.43,up,3.12,2.35,2026-07-31T23:30:00Z,88.0,classic
walker-zimmerman,Walker Zimmerman,https://sorare.com/it/football/players/walker-zimmerman,mlspa,classic,0.5247,Toronto FC,New York City FC (trasferta),69.86,52.0,52.0,46.0,1.0,0.9,14/16,-11.46,up,1.45,0.81,2026-07-31T23:30:00Z,88.0,classic
freese-matthew,Matt Freese,https://sorare.com/it/football/players/freese-matthew,mlspa,classic,0.5184,New York City FC,Toronto FC (casa),39.4,48.0,49.0,47.0,3.28,3.71,21/23,11.65,down,2.64,3.79,2026-07-31T23:30:00Z,88.1,classic
thiago-martins-bueno,Thiago Martins,https://sorare.com/it/football/players/thiago-martins-bueno,mlspa,classic,0.5111,New York City FC,Toronto FC (casa),51.02,60.0,61.0,55.0,1.15,1.06,23/25,-8.31,up,1.33,1.03,2026-07-31T23:30:00Z,88.1,classic
nicolas-fernandez-mercau,Nicolás Fernández-Mercau,https://sorare.com/it/football/players/nicolas-fernandez-mercau,mlspa,in season,0.4958,New York City FC,Toronto FC (casa),73.1,76.0,71.0,62.0,40.93,22.79,48/50,-79.61,up,29.81,21.89,2026-07-31T23:30:00Z,88.1,in_season
freese-matthew,Matt Freese,https://sorare.com/it/football/players/freese-matthew,mlspa,in season,0.4892,New York City FC,Toronto FC (casa),39.4,48.0,49.0,47.0,11.98,11.53,28/30,-3.93,flat,12.13,11.41,2026-07-31T23:30:00Z,88.1,in_season
hannes-wolf,Hannes Wolf,https://sorare.com/it/football/players/hannes-wolf,mlspa,in season,0.4819,New York City FC,Toronto FC (casa),37.0,52.0,53.0,49.0,1.59,1.49,13/15,-6.55,flat,1.45,1.54,2026-07-31T23:30:00Z,88.0,in_season
andres-felipe-perea-castaneda,Andrés Perea,https://sorare.com/it/football/players/andres-felipe-perea-castaneda,mlspa,in season,0.4773,New York City FC,Toronto FC (casa),79.0,52.0,51.0,51.0,3.5,1.79,19/21,-95.24,up,2.32,1.38,2026-07-31T23:30:00Z,88.0,in_season
agustin-ojeda,Axel Ojeda,https://sorare.com/it/football/players/agustin-ojeda,mlspa,in season,0.4751,New York City FC,Toronto FC (casa),76.4,57.0,50.0,50.0,5.26,3.05,38/40,-72.5,up,4.21,2.8,2026-07-31T23:30:00Z,88.0,in_season
thiago-martins-bueno,Thiago Martins,https://sorare.com/it/football/players/thiago-martins-bueno,mlspa,in season,0.4705,New York City FC,Toronto FC (casa),51.02,60.0,61.0,55.0,7.96,6.44,37/39,-23.48,flat,6.68,6.42,2026-07-31T23:30:00Z,88.1,in_season
richie-laryea,Richie Laryea,https://sorare.com/it/football/players/richie-laryea,mlspa,in season,0.4511,Toronto FC,New York City FC (trasferta),41.42,48.0,54.0,48.0,3.09,2.6,26/28,-18.81,flat,2.57,2.6,2026-07-31T23:30:00Z,88.0,in_season
anthony-markanich,Anthony Markanich,https://sorare.com/it/football/players/anthony-markanich,mlspa,in season,0.4365,Minnesota United,San Diego FC (casa),48.58,47.0,56.0,51.0,3.45,7.32,15/17,52.86,down,4.43,8.56,2026-08-02T00:30:00Z,122.4,in_season
daniel-munie,Daniel Munie,https://sorare.com/it/football/players/daniel-munie,mlspa,in season,0.4343,San Jose Earthquakes,FC Cincinnati (trasferta),41.08,42.0,47.0,53.0,1.36,3.36,19/21,59.52,down,1.73,4.05,2026-08-01T23:30:00Z,121.4,in_season
antoine-griezmann,Antoine Griezmann,https://sorare.com/it/football/players/antoine-griezmann,mlspa,in season,0.4322,Orlando City SC,New York Red Bulls (trasferta),58.4,65.0,59.0,52.0,10.54,17.52,71/73,39.85,flat,17.0,17.34,2026-08-01T23:30:00Z,112.0,in_season
daniel-de-sousa-brito,Daniel,https://sorare.com/it/football/players/daniel-de-sousa-brito,mlspa,in season,0.4216,FC Dallas,LA Galaxy (trasferta),47.2,40.0,38.0,45.0,2.7,5.85,21/23,53.86,down,3.83,6.31,2026-08-02T02:30:00Z,124.4,in_season
nico-cavallo,Nico Cavallo,https://sorare.com/it/football/players/nico-cavallo,mlspa,in season,0.4214,New York City FC,Toronto FC (casa),52.18,54.0,46.0,46.0,2.0,1.12,13/15,-77.96,up,1.88,1.06,2026-07-31T23:30:00Z,88.1,in_season
marco-reus,Marco Reus,https://sorare.com/it/football/players/marco-reus,mlspa,in season,0.4134,LA Galaxy,FC Dallas (casa),74.5,46.0,51.0,55.0,4.85,6.78,29/31,28.48,,,,2026-08-02T02:30:00Z,124.7,in_season
