player_slug,player_name,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,ultimo_tipo_evento
dae-won-kim,Kim Dae-Won,https://sorare.com/it/football/players/dae-won-kim,k-league-1,in season,0.6644,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,10.96,13.7,17/19,19.97,flat,12.96,14.34,2026-08-01T10:30:00Z,73.9,in_season
seung-won-jung,Jeong Seung-Won,https://sorare.com/it/football/players/seung-won-jung,k-league-1,in season,0.6298,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),70.3,72.0,60.0,48.0,6.1,7.38,26/28,17.35,flat,6.88,7.53,2026-08-01T10:30:00Z,73.9,in_season
patryk-klimala,Patryk Klimala,https://sorare.com/it/football/players/patryk-klimala,k-league-1,in season,0.6214,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),38.2,55.0,48.0,49.0,1.75,4.9,15/17,64.22,down,2.02,5.6,2026-08-01T10:30:00Z,73.9,in_season
juan-antonio-ros-martinez,Ros,https://sorare.com/it/football/players/juan-antonio-ros-martinez,k-league-1,in season,0.6111,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),59.18,60.0,55.0,57.0,2.85,4.51,15/17,36.82,down,3.0,4.99,2026-08-01T10:30:00Z,73.9,in_season
hrvoje-babec,Hrvoje Babec,https://sorare.com/it/football/players/hrvoje-babec,k-league-1,in season,0.5903,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),48.2,48.0,54.0,49.0,2.1,3.44,18/20,38.83,down,2.51,3.8,2026-08-01T10:30:00Z,73.9,in_season
ho-jae-lee,Lee Ho-Jae,https://sorare.com/it/football/players/ho-jae-lee,k-league-1,in season,0.5783,Pohang Steelers FC,Gimcheon Sangmu (casa),48.2,46.0,47.0,53.0,2.18,3.27,21/23,33.33,down,2.61,3.34,2026-08-01T10:30:00Z,73.9,in_season
jae-hyun-mo,Mo Jae-Hyeon,https://sorare.com/it/football/players/jae-hyun-mo,k-league-1,in season,0.5725,Gangwon FC,Bucheon FC 1995 (casa),0.0,50.0,51.0,52.0,1.0,1.53,15/17,34.81,flat,1.45,1.58,2026-08-01T10:30:00Z,73.9,in_season
gi-hyuk-lee,Lee Gi-Hyeok,https://sorare.com/it/football/players/gi-hyuk-lee,k-league-1,in season,0.5676,Gangwon FC,Bucheon FC 1995 (casa),78.3,79.0,68.0,62.0,11.5,10.92,28/30,-5.28,up,12.01,10.58,2026-08-01T10:30:00Z,73.9,in_season
joon-hyuck-kang,Kang Joon-Hyuck,https://sorare.com/it/football/players/joon-hyuck-kang,k-league-1,in season,0.5497,Gangwon FC,Bucheon FC 1995 (casa),47.72,63.0,70.0,56.0,10.5,10.95,18/20,4.11,flat,11.5,10.86,2026-08-01T10:30:00Z,73.9,in_season
dae-won-kim,Kim Dae-Won,https://sorare.com/it/football/players/dae-won-kim,k-league-1,classic,0.5393,Gangwon FC,Bucheon FC 1995 (casa),87.7,67.0,65.0,55.0,4.6,4.07,30/32,-13.15,up,5.14,3.85,2026-08-01T10:30:00Z,73.9,classic
jin-gyu-kim,KIM JIN-GYU,https://sorare.com/it/football/players/jin-gyu-kim,k-league-1,in season,0.5309,Jeonbuk Hyundai Motors FC,FC Seoul (casa),39.4,54.0,55.0,55.0,5.26,5.84,17/19,9.91,down,4.78,5.98,2026-08-01T10:30:00Z,73.9,in_season
anderson-de-oliveira-da-silva,Anderson Oliveira,https://sorare.com/it/football/players/anderson-de-oliveira-da-silva,k-league-1,in season,0.5261,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),43.5,54.0,53.0,48.0,3.49,3.66,27/29,4.77,down,2.75,3.74,2026-08-01T10:30:00Z,73.9,in_season
marko-tuci,TUCI,https://sorare.com/it/football/players/marko-tuci,k-league-1,in season,0.5066,Gangwon FC,Bucheon FC 1995 (casa),0.0,54.0,61.0,55.0,2.18,3.06,15/17,28.74,down,2.07,3.29,2026-08-01T10:30:00Z,73.9,in_season
ho-jin-kim,Kim Ho-Jin,https://sorare.com/it/football/players/ho-jin-kim,k-league-1,in season,0.5014,Pohang Steelers FC,Gimcheon Sangmu (casa),44.22,47.0,57.0,57.0,1.74,1.59,14/16,-9.68,down,1.18,1.62,2026-08-01T10:30:00Z,73.9,in_season
jakob-tranziska,Jakob Tranziska,https://sorare.com/it/football/players/jakob-tranziska,k-league-1,in season,0.4983,Pohang Steelers FC,Gimcheon Sangmu (casa),48.4,62.0,53.0,47.0,4.19,3.85,14/16,-8.73,flat,3.87,3.85,2026-08-01T10:30:00Z,73.9,in_season
sung-yun-gu,GU SUNG YUN,https://sorare.com/it/football/players/sung-yun-gu,k-league-1,classic,0.4868,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),25.4,51.0,51.0,49.0,3.79,3.75,20/22,-1.09,down,3.15,3.78,2026-08-01T10:30:00Z,73.9,classic
seung-seop-kim,Kim Seung-Sub,https://sorare.com/it/football/players/seung-seop-kim,k-league-1,in season,0.4466,Jeonbuk Hyundai Motors FC,FC Seoul (casa),36.5,38.0,42.0,47.0,1.0,0.88,19/21,-14.05,flat,0.85,0.88,2026-08-01T10:30:00Z,73.9,in_season
cheong-hyo-park,Park Cheong-Hyo,https://sorare.com/it/football/players/cheong-hyo-park,k-league-1,in season,0.446,Gangwon FC,Bucheon FC 1995 (casa),28.4,49.0,58.0,51.0,10.05,8.82,27/29,-13.92,flat,9.26,8.53,2026-08-01T10:30:00Z,73.9,in_season
seung-mo-lee,Lee Seung-Mo,https://sorare.com/it/football/players/seung-mo-lee,k-league-1,in season,0.437,FC Seoul,Jeonbuk Hyundai Motors FC (trasferta),28.1,38.0,45.0,46.0,1.04,0.94,16/18,-11.16,up,1.2,0.92,2026-08-01T10:30:00Z,73.9,in_season
dong-heon-kim,Kim Dong-Hyun,https://sorare.com/it/football/players/dong-heon-kim,k-league-1,in season,0.3085,Incheon United FC,Jeju SK FC (trasferta),39.6,51.0,51.0,49.0,4.23,5.88,14/16,28.04,,,5.88,2026-08-02T10:30:00Z,97.9,in_season
seo-jae-min,Seo Jae-Min,https://sorare.com/it/football/players/seo-jae-min,k-league-1,in season,0.2917,Incheon United FC,Jeju SK FC (trasferta),60.6,59.0,60.0,56.0,6.04,6.45,14/16,6.31,flat,6.3,6.53,2026-08-02T10:30:00Z,97.9,in_season
dong-kyung-lee,Lee Dong-Gyeong,https://sorare.com/it/football/players/dong-kyung-lee,k-league-1,in season,0.2881,Ulsan Hyundai Horang-i,FC Anyang (casa),79.2,63.0,65.0,63.0,11.0,10.64,24/26,-3.4,up,12.23,9.59,2026-08-02T10:30:00Z,97.9,in_season
