player_slug,player_name,segnale,punteggio_occasione,motivo_segnale,link_sorare,league_slug,tipo_carta,potenziale_score,squadra,prossimo_avversario,ultima_partita_score,l5,l10,l40,min_attuale_eur,media_transazioni_7gg_trimmed_eur,n_transazioni_usate,sconto_percent,trend_recente,media_transazioni_recente_eur,media_transazioni_storica_eur,prossima_partita_data,ore_alla_partita,finestra_acquisto_ideale,aggiornato_il,ultimo_tipo_evento
anis-hadj-moussa,Anis Hadj Moussa,COMPRA ORA,17.8,"sconto 26% | trend sconosciuto | partita tra 9.8gg, fuori finestra",https://sorare.com/it/football/players/anis-hadj-moussa,eredivisie,classic,0.308,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),37.9,48.0,57.0,57.0,3.0,4.07,15/17,26.43,,,4.07,2026-08-09T10:15:00Z,234.4,05/08 22:15-06/08 22:15 UTC,2026-07-30T15:51:07+00:00,classic
dusan-tadic,Dušan Tadić,buona occasione,6.5,"sconto 11% | trend in salita | partita tra 5.1gg, fuori finestra",https://sorare.com/it/football/players/dusan-tadic,eredivisie,classic,0.3037,N.E.C. Nijmegen,Olympiakos CFP (trasferta),51.3,59.0,61.0,61.0,2.75,3.08,68/70,10.68,up,3.3,3.04,2026-08-04T18:00:00Z,122.1,01/08 06:00-02/08 06:00 UTC,2026-07-30T15:51:19+00:00,classic
luciano-valente,Luciano Valente,neutro,3.6,"sconto 11% | trend in calo | partita tra 9.8gg, fuori finestra",https://sorare.com/it/football/players/luciano-valente,eredivisie,classic,0.3116,Feyenoord Rotterdam,Sparta Rotterdam (trasferta),85.4,55.0,52.0,51.0,2.75,3.1,14/16,11.33,down,2.67,3.2,2026-08-09T10:15:00Z,234.4,05/08 22:15-06/08 22:15 UTC,2026-07-30T15:51:09+00:00,classic
leo-kokubo,Leo Kokubo,neutro,2.7,"sconto 6% | trend stabile | partita tra 9.1gg, fuori finestra",https://sorare.com/it/football/players/leo-kokubo,jupiler-pro-league,classic,0.1872,Sint-Truidense VV,Lommel SK (casa),0.0,40.0,49.0,51.0,2.8,2.99,15/17,6.38,flat,3.0,2.96,2026-08-08T18:45:00Z,218.9,05/08 06:45-06/08 06:45 UTC,2026-07-30T15:51:38+00:00,classic
jorthy-mokio,Jorthy Mokio,neutro,2.5,"sconto 10% | trend in calo | partita tra 2h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/jorthy-mokio,eredivisie,classic,0.1725,AFC Ajax,FK Vojvodina Novi Sad (casa),37.2,54.0,55.0,47.0,4.83,5.4,14/16,10.47,down,4.76,5.44,2026-07-30T18:00:00Z,2.1,finestra gia' passata,2026-07-30T15:51:05+00:00,classic
rome-jayden-owusu-oduro,Rome-Jayden Owusu-Oduro,neutro,2.0,"sconto 7% | trend in calo | partita tra 9.1gg, fuori finestra",https://sorare.com/it/football/players/rome-jayden-owusu-oduro,eredivisie,classic,0.2471,AZ,HFC ADO Den Haag (casa),42.8,48.0,43.0,48.0,6.12,6.59,29/31,7.2,down,6.29,6.69,2026-08-08T19:00:00Z,219.1,05/08 07:00-06/08 07:00 UTC,2026-07-30T15:51:02+00:00,classic
sven-mijnans,Sven Mijnans,neutro,1.7,"sconto 6% | trend in calo | partita tra 9.1gg, fuori finestra",https://sorare.com/it/football/players/sven-mijnans,eredivisie,classic,0.2918,PSV Eindhoven,Fortuna Sittard (casa),86.5,49.0,59.0,57.0,4.66,4.98,20/22,6.44,down,4.75,5.01,2026-08-08T18:00:00Z,218.1,05/08 06:00-06/08 06:00 UTC,2026-07-30T15:51:22+00:00,classic
joey-veerman,Joey Veerman,neutro,1.6,"sconto 6% | trend in calo | partita tra 9.1gg, fuori finestra",https://sorare.com/it/football/players/joey-veerman,eredivisie,classic,0.252,PSV Eindhoven,Fortuna Sittard (casa),42.5,45.0,62.0,69.0,12.0,12.75,59/61,5.89,down,12.16,12.85,2026-08-08T18:00:00Z,218.1,05/08 06:00-06/08 06:00 UTC,2026-07-30T15:51:26+00:00,classic
oscar-gluh,Oscar Gloukh,neutro,0.6,"sconto 2% | trend stabile | partita tra 2h, finestra passata (prezzi in premio)",https://sorare.com/it/football/players/oscar-gluh,eredivisie,classic,0.213,AFC Ajax,FK Vojvodina Novi Sad (casa),74.2,57.0,47.0,52.0,4.36,4.47,32/34,2.49,flat,4.45,4.52,2026-07-30T18:00:00Z,2.1,finestra gia' passata,2026-07-30T15:51:06+00:00,classic
carlos-roberto-forbs-borges,Carlos Forbs,neutro,0.2,"sconto 1% | trend in calo | partita tra 8.1gg, fuori finestra",https://sorare.com/it/football/players/carlos-roberto-forbs-borges,jupiler-pro-league,classic,0.2781,Club Brugge KV,KV Kortrijk (casa),62.4,66.0,60.0,57.0,5.49,5.54,21/23,0.93,down,5.18,5.69,2026-08-07T18:45:00Z,194.9,04/08 06:45-05/08 06:45 UTC,2026-07-30T15:51:31+00:00,classic
bernt-klaverboer,Bernt Klaverboer,neutro,0.1,"sconto 0% | trend stabile | partita tra 10.0gg, fuori finestra",https://sorare.com/it/football/players/bernt-klaverboer,eredivisie,classic,0.1984,sc Heerenveen,FC Twente (casa),17.4,54.0,53.0,43.0,5.83,5.84,19/21,0.22,flat,5.87,5.89,2026-08-09T14:45:00Z,238.9,06/08 02:45-07/08 02:45 UTC,2026-07-30T15:51:14+00:00,classic
