Consiglio attaccanti — 2026-07-24 16:35Z

1) denis-bouanga: 70 pt (41-100)
2) heung-min-son: 60 pt (37-83)
3) antoine-griezmann: 56 pt (33-78)
4) dor-david-turgeman: 54 pt (28-80)
5) ousseni-bouda: 47 pt (22-72)
6) brian-white: 44 pt (11-76)
7) philip-zinckernagel: 39 pt (8-70)
8) thomas-muller: 39 pt (11-67)
9) marcus-ingvartsen: 38 pt (14-62)
10) rafael-navarro-leal: 38 pt (14-62)
11) georgi-minoungou: 35 pt (27-44)
12) prince-osei-owusu: 35 pt (0-69)
13) jacob-shaffelburg: 33 pt (31-35)
14) robert-lewandowski: 29 pt (4-54)
15) maximilian-arfsten: 25 pt (-1-51)

(27 esclusi/non disponibili questa giornata)
